"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27101","webtable","chromium","Fri Dec 20 22:05:42 IST 2024","passed","Fri Dec 20 22:06:09 IST 2024","","webtable.spec.js","",""
"","17300","POM Test","chromium","Fri Dec 20 22:03:48 IST 2024","passed","Fri Dec 20 22:04:05 IST 2024","","pomtest.spec.js","",""
